,county,city,vac_info_type,pct
0,Alameda,Alameda,7thGradeData,94.9
1,Alameda,Alameda,ChildCareData,96.0
2,Alameda,Alameda,KindergartenData,96.38461538461539
3,Alameda,Albany,7thGradeData,98.0
4,Alameda,Albany,ChildCareData,95.57142857142857
5,Alameda,Albany,KindergartenData,97.66666666666667
6,Alameda,Berkeley,7thGradeData,96.75
7,Alameda,Berkeley,ChildCareData,92.75
8,Alameda,Berkeley,KindergartenData,91.33333333333333
9,Alameda,Castro Valley,7thGradeData,97.0
10,Alameda,Castro Valley,ChildCareData,89.38461538461539
11,Alameda,Castro Valley,KindergartenData,97.41666666666667
12,Alameda,Dublin,7thGradeData,97.2
13,Alameda,Dublin,ChildCareData,92.85714285714286
14,Alameda,Dublin,KindergartenData,97.8
15,Alameda,Emeryville,7thGradeData,96.0
16,Alameda,Emeryville,ChildCareData,96.0
17,Alameda,Emeryville,KindergartenData,98.0
18,Alameda,Fremont,7thGradeData,96.0
19,Alameda,Fremont,ChildCareData,96.1969696969697
20,Alameda,Fremont,KindergartenData,97.53846153846153
21,Alameda,Hayward,7thGradeData,97.27272727272727
22,Alameda,Hayward,ChildCareData,95.74285714285715
23,Alameda,Hayward,KindergartenData,97.21428571428571
24,Alameda,Livermore,7thGradeData,96.125
25,Alameda,Livermore,ChildCareData,96.41666666666667
26,Alameda,Livermore,KindergartenData,96.92857142857143
27,Alameda,Newark,7thGradeData,97.33333333333333
28,Alameda,Newark,ChildCareData,96.61111111111111
29,Alameda,Newark,KindergartenData,96.8
30,Alameda,Oakland,7thGradeData,96.11320754716981
31,Alameda,Oakland,ChildCareData,95.47311827956989
32,Alameda,Oakland,KindergartenData,95.1547619047619
33,Alameda,Piedmont,7thGradeData,97.0
34,Alameda,Piedmont,ChildCareData,95.0
35,Alameda,Piedmont,KindergartenData,95.75
36,Alameda,Pleasanton,7thGradeData,99.0
37,Alameda,Pleasanton,ChildCareData,95.8
38,Alameda,Pleasanton,KindergartenData,98.3
39,Alameda,San Leandro,7thGradeData,97.0
40,Alameda,San Leandro,ChildCareData,95.20833333333333
41,Alameda,San Leandro,KindergartenData,97.61538461538461
42,Alameda,San Lorenzo,7thGradeData,96.8
43,Alameda,San Lorenzo,ChildCareData,95.375
44,Alameda,San Lorenzo,KindergartenData,97.6
45,Alameda,Sunol,7thGradeData,95.0
46,Alameda,Sunol,ChildCareData,95.0
47,Alameda,Sunol,KindergartenData,94.0
48,Alameda,Union City,7thGradeData,97.33333333333333
49,Alameda,Union City,ChildCareData,95.08333333333333
50,Alameda,Union City,KindergartenData,98.57142857142857
51,Amador,Ione,KindergartenData,97.0
52,Amador,Jackson,7thGradeData,99.0
53,Amador,Jackson,ChildCareData,90.0
54,Amador,Jackson,KindergartenData,91.0
55,Amador,Pioneer,KindergartenData,95.0
56,Amador,Plymouth,7thGradeData,95.0
57,Amador,Plymouth,ChildCareData,95.0
58,Amador,Plymouth,KindergartenData,95.0
59,Amador,Sutter Creek,KindergartenData,98.0
60,Butte,Biggs,7thGradeData,95.0
61,Butte,Biggs,KindergartenData,96.0
62,Butte,Chico,7thGradeData,88.0
63,Butte,Chico,ChildCareData,93.55882352941177
64,Butte,Chico,KindergartenData,93.61111111111111
65,Butte,Durham,7thGradeData,98.0
66,Butte,Durham,ChildCareData,95.0
67,Butte,Durham,KindergartenData,98.0
68,Butte,Gridley,7thGradeData,97.0
69,Butte,Gridley,ChildCareData,95.75
70,Butte,Gridley,KindergartenData,96.0
71,Butte,Magalia,7thGradeData,98.0
72,Butte,Magalia,ChildCareData,93.33333333333333
73,Butte,Magalia,KindergartenData,94.0
74,Butte,Oroville,7thGradeData,97.4
75,Butte,Oroville,ChildCareData,93.53333333333333
76,Butte,Oroville,KindergartenData,94.45454545454545
77,Butte,Palermo,7thGradeData,99.0
78,Butte,Palermo,ChildCareData,94.0
79,Butte,Paradise,7thGradeData,93.5
80,Butte,Paradise,ChildCareData,93.6
81,Butte,Paradise,KindergartenData,96.25
82,Calaveras,Angels,7thGradeData,98.0
83,Calaveras,Angels,ChildCareData,95.0
84,Calaveras,Angels,KindergartenData,92.0
85,Calaveras,Arnold,KindergartenData,93.0
86,Calaveras,Avery,7thGradeData,98.0
87,Calaveras,Copperopolis,KindergartenData,83.0
88,Calaveras,Murphys,KindergartenData,88.0
89,Calaveras,San Andreas,7thGradeData,30.0
90,Calaveras,San Andreas,ChildCareData,95.0
91,Calaveras,San Andreas,KindergartenData,70.0
92,Calaveras,Valley Springs,7thGradeData,99.0
93,Calaveras,Valley Springs,KindergartenData,95.0
94,Colusa,Arbuckle,7thGradeData,99.0
95,Colusa,Arbuckle,ChildCareData,95.0
96,Colusa,Arbuckle,KindergartenData,99.0
97,Colusa,Colusa,7thGradeData,99.0
98,Colusa,Colusa,ChildCareData,95.0
99,Colusa,Colusa,KindergartenData,99.0
100,Colusa,Maxwell,7thGradeData,95.0
101,Colusa,Maxwell,KindergartenData,92.0
102,Colusa,Williams,7thGradeData,99.0
103,Colusa,Williams,ChildCareData,95.0
104,Colusa,Williams,KindergartenData,99.0
105,Contra Costa,Alamo,7thGradeData,99.0
106,Contra Costa,Alamo,ChildCareData,95.33333333333333
107,Contra Costa,Alamo,KindergartenData,96.5
108,Contra Costa,Antioch,7thGradeData,92.57142857142857
109,Contra Costa,Antioch,ChildCareData,94.3125
110,Contra Costa,Antioch,KindergartenData,93.82352941176471
111,Contra Costa,Bay Point,7thGradeData,99.0
112,Contra Costa,Bay Point,ChildCareData,96.0
113,Contra Costa,Bay Point,KindergartenData,96.33333333333333
114,Contra Costa,Brentwood,7thGradeData,96.0
115,Contra Costa,Brentwood,ChildCareData,96.38888888888889
116,Contra Costa,Brentwood,KindergartenData,96.9
117,Contra Costa,Byron,7thGradeData,73.5
118,Contra Costa,Byron,KindergartenData,65.0
119,Contra Costa,Clayton,7thGradeData,99.0
120,Contra Costa,Clayton,ChildCareData,97.0
121,Contra Costa,Clayton,KindergartenData,99.0
122,Contra Costa,Concord,7thGradeData,93.9
123,Contra Costa,Concord,ChildCareData,95.36111111111111
